t_ns,ch1_V,ch2_V,ch3_V
406904749,1.313553,1.326007,1.327473
406989874,1.305495,1.325275,1.323077
407904292,1.310623,1.319414,1.314286
409520832,1.318681,1.328205,1.325275
409548417,1.326740,1.335531,1.320879
409548417,1.315018,1.326007,1.310623
409548417,1.307692,1.325275,1.321612
411025708,1.315751,1.320147,1.321612
411025708,1.320879,1.301832,1.307692
411025708,1.319414,1.279121,1.308425
411025708,1.317216,1.301832,1.323810
411025708,1.320147,1.323077,1.323810
411025708,1.293773,1.320147,1.325275
413587875,1.294505,1.317949,1.323077
413587875,1.312821,1.328938,1.323810
413587875,1.315018,1.323810,1.322344
413587875,1.318681,1.322344,1.315751
413587875,1.306960,1.320147,1.310623
413913374,1.296703,1.315018,1.309890
413913374,1.306227,1.311355,1.309158
413993625,1.314286,1.320147,1.331136
415659250,1.323810,1.319414,1.320879
415659250,1.312821,1.321612,1.326007
415659250,1.317949,1.325275,1.320147
416089749,1.315018,1.323810,1.318681
447962291,1.299634,1.320879,1.323077
447962291,1.295971,1.318681,1.318681
448996125,1.309158,1.318681,1.310623
448996125,1.316484,1.325275,1.322344
449013999,1.309158,1.323077,1.323810
449952875,1.311355,1.312088,1.318681
449952875,1.331868,1.323077,1.326740
449952875,1.325275,1.322344,1.326007
450952749,1.302564,1.309890,1.315751
451015749,1.318681,1.326007,1.320879
451915832,1.314286,1.320147,1.317949
451915832,1.290110,1.320879,1.311355
451989416,1.268132,1.317949,1.308425
452924582,1.290842,1.328205,1.328205
452924582,1.311355,1.323077,1.323810
452995042,1.328205,1.326740,1.336996
453951167,1.384615,1.324542,1.339194
453951167,1.433700,1.322344,1.334066
454000791,1.394139,1.317216,1.315018
454947207,1.312821,1.308425,1.309158
454947207,1.263004,1.322344,1.313553
454994042,1.233700,1.326007,1.315751
455946375,1.225641,1.323077,1.321612
455989791,1.282784,1.312088,1.309158
456939542,1.317949,1.312088,1.310623
456939542,1.345055,1.320879,1.313553
456990624,1.328938,1.329670,1.322344
457913917,1.322344,1.323077,1.323810
457913917,1.323077,1.310623,1.323810
458000208,1.334066,1.315018,1.318681
458912291,1.320147,1.320147,1.330403
458912291,1.316484,1.323810,1.326007
458994499,1.317216,1.322344,1.331868
459916083,1.311355,1.323810,1.322344
459916083,1.303297,1.317949,1.303297
459995707,1.325275,1.323077,1.311355
460929707,1.281319,1.317949,1.302564
460993624,1.278388,1.317216,1.310623
461920749,1.298168,1.323810,1.323810
461920749,1.295238,1.313553,1.308425
461996999,1.306227,1.323077,1.330403
462930957,1.317216,1.320147,1.320879
462930957,1.308425,1.315751,1.314286
462990666,1.335531,1.322344,1.324542
463932208,1.337729,1.324542,1.326740
463932208,1.328938,1.320879,1.323077
463983874,1.314286,1.321612,1.323810
