t_ns,ch1_V,ch2_V,ch3_V
503448499,0.424908,0.426374,0.426374
503448499,0.426374,0.427839,0.427839
507147900,0.426374,0.430037,0.430769
507147900,0.424908,0.426374,0.427839
507147900,0.425641,0.427839,0.428571
507147900,0.429304,0.429304,0.413187
507147900,0.430037,0.431502,0.429304
507147900,0.427839,0.429304,0.430769
507147900,0.432234,0.432967,0.432967
541707399,0.430037,0.431502,0.429304
541707399,0.430037,0.421978,0.429304
541707399,0.422711,0.423443,0.421978
541707399,0.420513,0.426374,0.424908
542021200,0.427106,0.428571,0.429304
542021200,0.424908,0.427839,0.415385
542021200,0.424176,0.428571,0.425641
543872399,0.413187,0.430037,0.429304
543872399,0.412454,0.427106,0.427106
543872399,0.424176,0.426374,0.425641
543997699,0.424176,0.425641,0.427839
543997699,0.425641,0.427839,0.427106
543997699,0.425641,0.427106,0.430037
543997699,0.426374,0.429304,0.435165
546071399,0.427106,0.429304,0.429304
546071399,0.427839,0.430037,0.430769
546071399,0.429304,0.429304,0.430769
546520299,0.435165,0.437363,0.437363
546520299,0.435165,0.435897,0.435897
546520299,0.433700,0.435165,0.432967
547818499,0.430769,0.440293,0.430769
547818499,0.428571,0.432234,0.432967
547818499,0.430769,0.430037,0.432967
547818499,0.426374,0.428571,0.428571
551002599,0.425641,0.426374,0.416850
551002599,0.426374,0.430037,0.427106
551002599,0.427106,0.427839,0.427839
551002599,0.413919,0.430037,0.430769
551002599,0.427106,0.431502,0.427839
551002599,0.427839,0.431502,0.429304
551002599,0.427839,0.416850,0.430037
551002599,0.430037,0.424176,0.432234
551002599,0.430037,0.431502,0.431502
551002599,0.429304,0.432234,0.432234
551166000,0.430037,0.432967,0.432234
551166000,0.429304,0.432967,0.432967
551166000,0.420513,0.433700,0.429304
554698799,0.421978,0.435165,0.430037
554698799,0.429304,0.430769,0.430037
554698799,0.427839,0.430037,0.428571
554698799,0.425641,0.426374,0.427106
554698799,0.424908,0.427106,0.426374
554698799,0.422711,0.425641,0.430037
554698799,0.424176,0.423443,0.424176
554698799,0.424176,0.424908,0.425641
554698799,0.414652,0.429304,0.427106
554698799,0.430037,0.431502,0.430037
555259400,0.426374,0.430769,0.429304
555259400,0.429304,0.430769,0.430037
556120499,0.432234,0.432234,0.433700
590798899,0.425641,0.430037,0.429304
591618699,0.427839,0.430769,0.429304
594754899,0.419780,0.425641,0.424176
594754899,0.425641,0.424176,0.430037
594754899,0.424908,0.427839,0.424176
594833399,0.422711,0.426374,0.424908
594833399,0.423443,0.421245,0.425641
594833399,0.424176,0.423443,0.425641
594833399,0.423443,0.415385,0.424176
594833399,0.425641,0.425641,0.423443
594833399,0.423443,0.428571,0.427839
594833399,0.421978,0.422711,0.422711
594833399,0.424176,0.427106,0.424908
594833399,0.423443,0.427106,0.424908
594833399,0.425641,0.427839,0.426374
594999699,0.427106,0.430037,0.427839
594999699,0.425641,0.427839,0.427106
594999699,0.435897,0.435897,0.434432
598689599,0.431502,0.433700,0.432234
598689599,0.430769,0.432967,0.430769
598689599,0.431502,0.433700,0.429304
598689599,0.428571,0.432967,0.432234
598689599,0.426374,0.431502,0.430037
598689599,0.428571,0.430037,0.429304
598689599,0.427106,0.430037,0.413919
598689599,0.426374,0.429304,0.432234
598689599,0.428571,0.428571,0.419048
598689599,0.426374,0.429304,0.428571
