t_ns,ch1_V,ch2_V,ch3_V
397155800,1.301832,1.312821,1.318681
397155800,1.310623,1.309890,1.338462
398126200,1.308425,1.306960,1.319414
398126200,1.312088,1.309890,1.311355
398126200,1.321612,1.317949,1.316484
400611500,1.319414,1.311355,1.304762
400611500,1.331868,1.330403,1.281319
400611500,1.323810,1.329670,1.298168
400830600,1.336264,1.334066,1.320879
400830600,1.300366,1.305495,1.308425
400830600,1.315751,1.315018,1.320879
402945499,1.315751,1.313553,1.306227
402945499,1.291575,1.317216,1.325275
403381500,1.293773,1.311355,1.318681
403381500,1.304762,1.318681,1.329670
403381500,1.301099,1.290110,1.328205
403381500,1.323077,1.312821,1.334066
403381500,1.319414,1.316484,1.323810
403381500,1.323077,1.323077,1.315751
420265400,1.321612,1.319414,1.284982
420265400,1.323077,1.317216,1.287179
420265400,1.314286,1.317949,1.309158
420265400,1.316484,1.314286,1.317216
447167300,1.312088,1.315018,1.307692
447167300,1.318681,1.320879,1.317216
447167300,1.329670,1.323077,1.332601
447167300,1.281319,1.312088,1.327473
447167300,1.296703,1.312088,1.315018
447167300,1.296703,1.310623,1.295238
447167300,1.300366,1.308425,1.263736
447167300,1.320147,1.316484,1.265201
447167300,1.311355,1.312088,1.274725
447167300,1.318681,1.319414,1.331136
447167300,1.315751,1.315751,1.372161
447877900,1.320147,1.304762,1.358242
447877900,1.308425,1.309158,1.334066
447877900,1.318681,1.319414,1.319414
447877900,1.313553,1.315018,1.250549
447877900,1.282784,1.313553,1.265934
447877900,1.306227,1.315751,1.320147
447877900,1.315751,1.320147,1.309890
447877900,1.314286,1.324542,1.372894
447877900,1.296703,1.308425,1.317949
447877900,1.284249,1.309158,1.283516
447877900,1.287912,1.318681,1.312821
447877900,1.308425,1.312821,1.315018
447877900,1.317216,1.302564,1.304029
447877900,1.339927,1.321612,1.323810
447877900,1.320879,1.312821,1.309890
447877900,1.311355,1.320879,1.315018
447877900,1.319414,1.334066,1.312821
447877900,1.298901,1.312088,1.259341
447877900,1.309890,1.311355,1.267399
448166600,1.321612,1.319414,1.306227
448166600,1.326740,1.337729,1.345788
448166600,1.334066,1.327473,1.360440
449074600,1.320147,1.304762,1.389744
449074600,1.314286,1.308425,1.353846
449074600,1.311355,1.315018,1.302564
450005799,1.301099,1.312821,1.302564
450005799,1.294505,1.308425,1.290110
450005799,1.286447,1.307692,1.296703
451114499,1.299634,1.308425,1.315018
451114499,1.323077,1.323077,1.326007
451114499,1.320879,1.312088,1.328938
455979200,1.328938,1.314286,1.309158
455979200,1.340659,1.324542,1.288645
455979200,1.319414,1.312821,1.253480
455979200,1.328938,1.310623,1.289377
455979200,1.325275,1.320879,1.322344
455979200,1.322344,1.324542,1.336996
455979200,1.331136,1.334799,1.337729
455979200,1.298901,1.326740,1.287179
487355600,1.298168,1.312088,1.250549
487355600,1.293040,1.315751,1.263004
487355600,1.294505,1.310623,1.276923
488061600,1.311355,1.320147,1.341392
495419099,1.317949,1.310623,1.375824
495419099,1.314286,1.309890,1.358974
509341299,1.306960,1.311355,1.329670
509341299,1.300366,1.312088,1.312088
509341299,1.309158,1.323077,1.323077
509341299,1.303297,1.303297,1.294505
509341299,1.303297,1.312088,1.295238
509341299,1.295238,1.310623,1.309158
509341299,1.327473,1.311355,1.310623
509341299,1.326007,1.312088,1.329670
509341299,1.326740,1.309158,1.347253
509341299,1.329670,1.317216,1.338462
509341299,1.315751,1.314286,1.319414
509341299,1.306960,1.312821,1.290110
509341299,1.300366,1.317949,1.275458
509341299,1.298168,1.312821,1.290110
509341299,1.306227,1.312821,1.298168
509341299,1.294505,1.312088,1.309158
509341299,1.328938,1.315018,1.312821
509341299,1.312088,1.311355,1.306960
509341299,1.314286,1.312821,1.301832
509341299,1.306960,1.317216,1.312088
509923100,1.301832,1.327473,1.319414
509923100,1.295238,1.307692,1.328205
509923100,1.303297,1.314286,1.321612
509923100,1.306227,1.312088,1.317949
509923100,1.312821,1.309890,1.293773
509923100,1.327473,1.333333,1.315751
509923100,1.321612,1.323810,1.313553
509923100,1.312088,1.321612,1.311355
509923100,1.317949,1.326007,1.320879
509923100,1.304762,1.320147,1.300366
509923100,1.282784,1.309158,1.293040
509923100,1.295971,1.320147,1.317216
509923100,1.310623,1.312088,1.314286
509923100,1.312088,1.313553,1.344322
509923100,1.321612,1.310623,1.337729
509923100,1.315018,1.307692,1.320147
509923100,1.287179,1.312821,1.309890
509923100,1.275458,1.312088,1.293040
509923100,1.320147,1.319414,1.265201
509923100,1.320147,1.315751,1.243223
509923100,1.321612,1.309890,1.287912
509923100,1.316484,1.309890,1.327473
509923100,1.321612,1.328205,1.378755
509923100,1.319414,1.336264,1.416850
539083600,1.303297,1.312088,1.339194
539083600,1.299634,1.308425,1.289377
539083600,1.300366,1.313553,1.295971
539083600,1.312088,1.316484,1.294505
539083600,1.312088,1.316484,1.298901
539083600,1.328938,1.310623,1.299634
539083600,1.304029,1.308425,1.287912
539685700,1.315018,1.311355,1.300366
539685700,1.325275,1.306227,1.295238
539685700,1.326740,1.312821,1.301832
540026200,1.309158,1.312088,1.305495
540026200,1.312088,1.311355,1.304029
540026200,1.338462,1.328938,1.345788
541168800,1.339927,1.331868,1.343590
541168800,1.326740,1.322344,1.346520
541168800,1.312088,1.316484,1.331136
542118199,1.294505,1.308425,1.316484
542118199,1.297436,1.310623,1.309158
542118199,1.320879,1.314286,1.312821
543078500,1.320879,1.320879,1.330403
543078500,1.314286,1.312088,1.317216
544182500,1.314286,1.312821,1.350183
544182500,1.306227,1.317216,1.312821
